date,order_count,event_weight
2018-05-25,103,0
2018-05-26,99,0
2018-05-27,100,0
2018-05-28,142,0
2018-05-29,149,0
2018-05-30,138,0
2018-05-31,132,1
2018-06-01,184,0
2018-06-02,141,0
2018-06-03,189,0
2018-06-04,222,0
2018-06-05,196,0
2018-06-06,227,0
2018-06-07,223,0
2018-06-08,195,0
2018-06-09,169,0
2018-06-10,190,0
2018-06-11,294,0
2018-06-12,244,1
2018-06-13,253,0
2018-06-14,211,0
2018-06-15,182,0
2018-06-16,162,0
2018-06-17,151,0
2018-06-18,243,0
2018-06-19,228,0
2018-06-20,216,0
2018-06-21,232,0
2018-06-22,177,0
2018-06-23,149,0
2018-06-24,198,0
2018-06-25,238,0
2018-06-26,238,0
2018-06-27,214,0
2018-06-28,239,0
2018-06-29,171,0
2018-06-30,123,0
2018-07-01,159,0
2018-07-02,193,0
2018-07-03,214,0
2018-07-04,251,0
2018-07-05,193,0
2018-07-06,120,0
2018-07-07,89,0
2018-07-08,118,0
2018-07-09,146,1
2018-07-10,129,0
2018-07-11,123,0
2018-07-12,117,0
2018-07-13,167,0
2018-07-14,142,0
2018-07-15,148,0
2018-07-16,238,0
2018-07-17,216,0
2018-07-18,302,0
2018-07-19,249,0
2018-07-20,247,0
2018-07-21,184,0
2018-07-22,213,0
2018-07-23,298,0
2018-07-24,264,0
2018-07-25,264,0
2018-07-26,244,0
2018-07-27,186,0
2018-07-28,172,0
2018-07-29,182,0
2018-07-30,278,0
2018-07-31,313,0
2018-08-01,306,0
2018-08-02,292,0
2018-08-03,308,0
2018-08-04,236,0
2018-08-05,269,0
2018-08-06,363,0
2018-08-07,353,0
2018-08-08,310,0
2018-08-09,280,0
2018-08-10,249,0
2018-08-11,185,0
2018-08-12,191,0
2018-08-13,284,0
2018-08-14,311,0
2018-08-15,282,0
2018-08-16,316,0
2018-08-17,249,0
2018-08-18,193,0
2018-08-19,204,0
